execution_run_id,depth,budget,method_a,method_b,metric,n_graphs,difference,mean_difference,ci_low,ci_high,smaller_is_better,interval
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_radius,optimization_shots,24,a_minus_b,-618.6666666666664,-842.6666666666665,-359.0222222222228,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_radius,optimization_calls,24,a_minus_b,-27.805555555555554,-32.263888888888886,-24.13888888888889,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_radius,optimization_jobs,24,a_minus_b,-11.111111111111109,-12.736458333333335,-9.763888888888888,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_shots,objective,24,a_minus_b,0.003929125131946483,0.0023063649797121786,0.005676538487022353,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_shots,expected_ratio,24,a_minus_b,-0.005257429888077934,-0.007691531636269835,-0.002997973044936897,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_shots,signed_reference_gap,24,a_minus_b,0.003929125131946483,0.0023063649797121786,0.005676538487022353,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_shots,success_fraction,24,a_minus_b,0.0,0.0,0.0,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_shots,capped_target_shots,24,a_minus_b,0.0,0.0,0.0,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_shots,optimization_shots,24,a_minus_b,31089.77777777778,31018.666666666668,31175.111111111113,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_shots,optimization_calls,24,a_minus_b,28.777777777777775,27.666666666666668,30.11111111111111,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,fixed_shots,optimization_jobs,24,a_minus_b,12.666666666666666,12.25,13.166666666666666,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,cobyla,objective,24,a_minus_b,0.003230896562041318,0.0012434546874116055,0.005451262690902587,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,cobyla,expected_ratio,24,a_minus_b,-0.004442445934270678,-0.007468379934243271,-0.0017228414305306718,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,cobyla,signed_reference_gap,24,a_minus_b,0.003230896562041318,0.001243454687411607,0.0054512626909025905,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,cobyla,success_fraction,24,a_minus_b,0.0,0.0,0.0,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,cobyla,capped_target_shots,24,a_minus_b,0.0,0.0,0.0,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,cobyla,optimization_shots,24,a_minus_b,15217.77777777778,14684.444444444443,15729.777777777776,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,cobyla,optimization_calls,24,a_minus_b,15.527777777777779,14.083333333333334,17.13888888888889,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,cobyla,optimization_jobs,24,a_minus_b,-2.5833333333333335,-3.375,-1.763888888888889,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,spsa,objective,24,a_minus_b,0.00426291919384889,0.0024771154450732203,0.006233639243530746,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,spsa,expected_ratio,24,a_minus_b,-0.005702551818228869,-0.008412327314201435,-0.0032350078905778548,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,spsa,signed_reference_gap,24,a_minus_b,0.004262919193848906,0.0024771154450732263,0.006233639243530774,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,spsa,success_fraction,24,a_minus_b,0.0,0.0,0.0,False,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,spsa,capped_target_shots,24,a_minus_b,0.0,0.0,0.0,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,spsa,optimization_shots,24,a_minus_b,1137.7777777777778,1066.6666666666667,1223.111111111111,True,unadjusted 95 percent paired graph percentile bootstrap
study-cc25ae93d418f22101d4,1,32768,uniform_iso,spsa,optimization_calls,24,a_minus_b,1.7777777777777777,0.6666666666666666,3.1111111111111107,True,unadjusted 95 percent paired graph percentile bootstrap
